web-scraper-order,web-scraper-start-url,name,price,nb_etoiles
"1736691151-11","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","The Ksar Djerba Charming hôtel & spa","528.00  TND","The Ksar Djerba Charming hôtel & spa"
"1736691151-12","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Djerba Resort","528.00  TND","Djerba Resort"
"1736691151-13","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Seabel Rym Beach Djerba","519.75  TND","Seabel Rym Beach Djerba"
"1736691151-14","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","El Mouradi Djerba Menzel","406.30  TND","El Mouradi Djerba Menzel"
"1736691151-15","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Djerba Orient","230.40  TND","Djerba Orient"
"1736691151-16","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Hari Club Beach Resort","792.00  TND","Hari Club Beach Resort"
"1736691151-17","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Grand Hôtel Des Thermes","410.80  TND","Grand Hôtel Des Thermes"
"1736691151-18","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Djerba Inn","234.00  TND","Djerba Inn"
"1736691151-19","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Cesar Thalasso","744.00  TND","Cesar Thalasso"
"1736691151-20","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Saray Djerba","240.00  TND","Saray Djerba"
"1736691151-21","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Djerba Aqua Resort","720.00  TND","Djerba Aqua Resort"
"1736691151-22","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","MIZWAR","174.80  TND","MIZWAR"
"1736691151-23","https://www.traveltodo.com/hotels/?token=EC390B3C93B2D720EE840A3FF367017C83ED14D6&rooms=1&destinationId=13&hotelId=&source=&locality=Djerba%2C+Tunisie&arrDate=01%2F07%2F2025&depDate=02%2F07%2F2025&adults1=2&children1=0&infant1=0&age1_1=&age2_1=&age3_1=&rating=&available=0","Iris Djerba Hôtel Thalasso","127.31  TND","Iris Djerba Hôtel Thalasso"
